Transformed	matching	Soot.rep(1)	OSA.rep(2)	SPOON.rep(4)	JCG.rep(8)	WALA.rep(16)	JDT(64)	IntersectionID
22	6	"(18)<java8.MethodReference: void <init>()>""(18)<java8.MethodReference: void <init>()>"	482java8.MethodReference.<init>()V:18:2:21:3	86java8.MethodReference.<initblock>():7:15:7:39	java8.MethodReference:<init>()java8.MethodReference.<init>()	102java8.MethodReference.<init>()V:18	87java8.MethodReference.<init>():void:MethodReference.java:18:1:21:2	95
84	6	"(28)<java8.MethodReference: void doSomething()>""(28)<java8.MethodReference: void doSomething()>"	484java8.MethodReference.doSomething()V:27:2:29:3	78java8.MethodReference.doSomething():27:14:29:2	java8.MethodReference:doSomething()java8.MethodReference.doSomething()	103java8.MethodReference.doSomething()V:28	88java8.MethodReference.doSomething():void:MethodReference.java:23:1:29:2	95
14	6	"(25)<java8.Java8Test: void functionalInterface()>""(25)<java8.Java8Test: void functionalInterface()>"	486java8.Java8Test.functionalInterface()V:24:2:28:3	79java8.Java8Test.functionalInterface():24:7:28:2	(25)java8.Java8Test:functionalInterface()java8.Java8Test.functionalInterface()	100java8.Java8Test.functionalInterface()V:25	89java8.Java8Test.functionalInterface():void:Java8Test.java:20:1:28:2	95
155	1	x	x	x	java8.FunctionalInterface:doSomething()java8.FunctionalInterface.doSomething()	x	x	8
149	4	x	472java8.FunctionalInterface.doSomething(Ljava/lang/String;)Ljava/lang/String;:4:2:4:33	80java8.FunctionalInterface.doSomething(java.lang.String):-1:-1:-1:-1	java8.FunctionalInterface:doSomething(java.lang.String)java8.FunctionalInterface.doSomething(java.lang.String)	x	82java8.FunctionalInterface.doSomething(java.lang.String):java.lang.String:FunctionalInterface.java:4:1:4:32	78
15	6	"(35)<java8.Java8Test: void functionalInterface2()>""(35)<java8.Java8Test: void functionalInterface2()>"	491java8.Java8Test.functionalInterface2()V:34:2:39:3	81java8.Java8Test.functionalInterface2():34:7:39:2	(35)java8.Java8Test:functionalInterface2()java8.Java8Test.functionalInterface2()	101java8.Java8Test.functionalInterface2()V:35	90java8.Java8Test.functionalInterface2():void:Java8Test.java:30:1:39:2	95
16	6	"(42)<java8.Java8Test: void test()>""(42)<java8.Java8Test: void test()>"	221java8.Java8Test.test()V:41:2:47:3	84java8.Java8Test.test():41:14:47:2	(42)java8.Java8Test:test()java8.Java8Test.test()	97java8.Java8Test.test()V:42	7java8.Java8Test.test():void:Java8Test.java:41:1:47:2	95
85	6	"(50)<java8.Java8Test: void main(java.lang.String[])>""(50)<java8.Java8Test: void main(java.lang.String[])>"	501java8.Java8Test.main([Ljava/lang/String;)V:49:2:51:3	85java8.Java8Test.main(java.lang.String[]):49:21:51:2	(50)java8.Java8Test:main(java.lang.String[])java8.Java8Test.main(java.lang.String[])	120java8.Java8Test.main([Ljava/lang/String;)V:50	94java8.Java8Test.main(java.lang.String[]):void:Java8Test.java:49:1:51:2	95
17	2	"(11)<java8.Java8Test: boolean lambda$0(int,int)>""(11)<java8.Java8Test: boolean lambda$0(int,int)>"	x	x	(10)java8.Java8Test:lambda$0(int,int)java8.Java8Test.lambda$0(int,int)	x	x	9
18	3	"(37)<java8.Java8Test: java.lang.String lambda$3(java.lang.String)>""(37)<java8.Java8Test: java.lang.String lambda$3(java.lang.String)>"	x	x	(36)java8.Java8Test:lambda$3(java.lang.String)java8.Java8Test.lambda$3(java.lang.String)	114java8.Java8Test.lambda$3(Ljava/lang/String;)Ljava/lang/String;:36	x	25
