Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(14)org.joda.time.Interval.overlap(org.joda.time.ReadableInterval)->(1622)org.joda.time.Interval.<init>(long,long,org.joda.time.Chronology)	6	X	X	X	X	X	X	95
(20)org.joda.time.Interval.gap(org.joda.time.ReadableInterval)->(1622)org.joda.time.Interval.<init>(long,long,org.joda.time.Chronology)	6	X	X	X	X	X	X	95
(21)org.joda.time.Interval.abuts(org.joda.time.ReadableInterval)->(22)org.joda.time.DateTimeUtils.currentTimeMillis()	6	X	X	X	X	X	X	95
(23)org.joda.time.Interval.withStart(org.joda.time.ReadableInstant)->(24)org.joda.time.DateTimeUtils.getInstantMillis(org.joda.time.ReadableInstant)	5	X	X	X	X		X	79
(23)org.joda.time.Interval.withStart(org.joda.time.ReadableInstant)->(1630)org.joda.time.Interval.withStartMillis(long)	6	X	X	X	X	X	X	95
(24)org.joda.time.DateTimeUtils.getInstantMillis(org.joda.time.ReadableInstant)->(22)org.joda.time.DateTimeUtils.currentTimeMillis()	6	X	X	X	X	X	X	95
(25)org.joda.time.Interval.withEnd(org.joda.time.ReadableInstant)->(24)org.joda.time.DateTimeUtils.getInstantMillis(org.joda.time.ReadableInstant)	5	X	X	X	X		X	79
(25)org.joda.time.Interval.withEnd(org.joda.time.ReadableInstant)->(1631)org.joda.time.Interval.withEndMillis(long)	6	X	X	X	X	X	X	95
(26)org.joda.time.Interval.withDurationAfterStart(org.joda.time.ReadableDuration)->(1622)org.joda.time.Interval.<init>(long,long,org.joda.time.Chronology)	6	X	X	X	X	X	X	95
(28)org.joda.time.Interval.withDurationBeforeEnd(org.joda.time.ReadableDuration)->(1622)org.joda.time.Interval.<init>(long,long,org.joda.time.Chronology)	6	X	X	X	X	X	X	95
(29)org.joda.time.DurationFieldType$StandardDurationFieldType.getField(org.joda.time.Chronology)->(30)org.joda.time.DateTimeUtils.getChronology(org.joda.time.Chronology)	6	X	X	X	X	X	X	95
(29)org.joda.time.DurationFieldType$StandardDurationFieldType.getField(org.joda.time.Chronology)->(1649)java.lang.InternalError.<init>()	6	X	X	X	X	X	X	95
(30)org.joda.time.DateTimeUtils.getChronology(org.joda.time.Chronology)->(364)org.joda.time.chrono.ISOChronology.getInstance()	6	X	X	X	X	X	X	95
(39)org.joda.time.DateTimeComparator.compare(java.lang.Object,java.lang.Object)->(40)org.joda.time.convert.ConverterManager.getInstance()	6	X	X	X	X	X	X	95
(39)org.joda.time.DateTimeComparator.compare(java.lang.Object,java.lang.Object)->(1801)org.joda.time.convert.ConverterManager.getInstantConverter(java.lang.Object)	6	X	X	X	X	X	X	95
(40)org.joda.time.convert.ConverterManager.getInstance()->(104)org.joda.time.convert.ConverterManager.<init>()	6	X	X	X	X	X	X	95
(42)org.joda.time.UTCDateTimeZone.toTimeZone()->(1855)java.util.SimpleTimeZone.<init>(int,java.lang.String)	6	X	X	X	X	X	X	95
(47)org.joda.time.TimeOfDay$Property.addToCopy(int)->(1861)org.joda.time.TimeOfDay$Property.getField()	6	X	X	X	X	X	X	95
(47)org.joda.time.TimeOfDay$Property.addToCopy(int)->(1869)org.joda.time.TimeOfDay.<init>(org.joda.time.TimeOfDay,int[])	6	X	X	X	X	X	X	95
(49)org.joda.time.TimeOfDay$Property.addNoWrapToCopy(int)->(1861)org.joda.time.TimeOfDay$Property.getField()	6	X	X	X	X	X	X	95
(49)org.joda.time.TimeOfDay$Property.addNoWrapToCopy(int)->(1869)org.joda.time.TimeOfDay.<init>(org.joda.time.TimeOfDay,int[])	6	X	X	X	X	X	X	95
(50)org.joda.time.TimeOfDay$Property.addWrapFieldToCopy(int)->(1861)org.joda.time.TimeOfDay$Property.getField()	6	X	X	X	X	X	X	95
(50)org.joda.time.TimeOfDay$Property.addWrapFieldToCopy(int)->(1869)org.joda.time.TimeOfDay.<init>(org.joda.time.TimeOfDay,int[])	6	X	X	X	X	X	X	95
(51)org.joda.time.TimeOfDay$Property.setCopy(int)->(1861)org.joda.time.TimeOfDay$Property.getField()	6	X	X	X	X	X	X	95
(51)org.joda.time.TimeOfDay$Property.setCopy(int)->(1869)org.joda.time.TimeOfDay.<init>(org.joda.time.TimeOfDay,int[])	6	X	X	X	X	X	X	95
(52)org.joda.time.TimeOfDay$Property.setCopy(java.lang.String,java.util.Locale)->(1861)org.joda.time.TimeOfDay$Property.getField()	6	X	X	X	X	X	X	95
(52)org.joda.time.TimeOfDay$Property.setCopy(java.lang.String,java.util.Locale)->(1869)org.joda.time.TimeOfDay.<init>(org.joda.time.TimeOfDay,int[])	6	X	X	X	X	X	X	95
(56)org.joda.time.convert.ReadableDurationConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(30)org.joda.time.DateTimeUtils.getChronology(org.joda.time.Chronology)	5	X	X	X	X		X	79
(59)org.joda.time.convert.ConverterSet.select(java.lang.Class)->(60)org.joda.time.convert.ConverterSet.selectSlow(org.joda.time.convert.ConverterSet,java.lang.Class)	6	X	X	X	X	X	X	95
(59)org.joda.time.convert.ConverterSet.select(java.lang.Class)->(1828)java.lang.Object.hashCode()	6	X	X	X	X	X	X	95
(59)org.joda.time.convert.ConverterSet.select(java.lang.Class)->(1900)org.joda.time.convert.ConverterSet$Entry.<init>(java.lang.Class,org.joda.time.convert.Converter)	6	X	X	X	X	X	X	95
(60)org.joda.time.convert.ConverterSet.selectSlow(org.joda.time.convert.ConverterSet,java.lang.Class)->(1602)java.lang.Object.getClass()	6	X	X	X	X	X	X	95
(60)org.joda.time.convert.ConverterSet.selectSlow(org.joda.time.convert.ConverterSet,java.lang.Class)->(1603)java.lang.Class.getName()	6	X	X	X	X	X	X	95
(60)org.joda.time.convert.ConverterSet.selectSlow(org.joda.time.convert.ConverterSet,java.lang.Class)->(1609)java.lang.StringBuilder.<init>()	6	X	X	X	X	X	X	95
