Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5975)org.argouml.uml.diagram.deployment.ui.InitDeploymentDiagram.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5976)org.argouml.uml.diagram.state.ui.InitStateDiagram.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5977)org.argouml.uml.diagram.static_structure.ui.InitClassDiagram.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5978)org.argouml.uml.diagram.use_case.ui.InitUseCaseDiagram.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5979)org.argouml.uml.ui.InitUmlUI.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5980)org.argouml.cognitive.checklist.ui.InitCheckListUI.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5981)org.argouml.cognitive.ui.InitCognitiveUI.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5982)org.argouml.moduleloader.InitModuleLoader.<init>()	6	X	X	X	X	X	X	95
(16)org.argouml.application.Main.initializeSplash()->(127)java.lang.Runtime.getRuntime()	6	X	X	X	X	X	X	95
(16)org.argouml.application.Main.initializeSplash()->(5992)java.lang.Object.wait()	5	X	X	X	X		X	79
(16)org.argouml.application.Main.initializeSplash()->(5993)java.lang.Runtime.availableProcessors()	6	X	X	X	X	X	X	95
(18)org.argouml.util.logging.AwtExceptionHandler.registerExceptionHandler()->(41)java.lang.System.setProperty(java.lang.String,java.lang.String)	6	X	X	X	X	X	X	95
(18)org.argouml.util.logging.AwtExceptionHandler.registerExceptionHandler()->(5578)java.lang.Class.getName()	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(12)org.argouml.persistence.PersistenceManager.getInstance()	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(17)org.argouml.ui.LookAndFeelMgr.getInstance()	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(108)org.argouml.ui.cmd.PrintManager.getInstance()	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(109)org.argouml.i18n.Translator.setLocale(java.lang.String)	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(110)org.argouml.application.Main.printUsage()	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(111)org.argouml.configuration.Configuration.getBoolean(org.argouml.configuration.ConfigurationKey,boolean)	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(1419)org.argouml.ui.cmd.PrintManager.print()	6	X	X	X	X	X	X	95
