Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(41)automata.fsa.FSAToRegularGrammarConverter.getLambdaProductionForFinalState(automata.Automaton,automata.State)->(2323)java.util.HashMap.get(java.lang.Object)	6	X	X	X	X	X	X	95
(41)automata.fsa.FSAToRegularGrammarConverter.getLambdaProductionForFinalState(automata.Automaton,automata.State)->(2467)automata.Automaton.isFinalState(automata.State)	6	X	X	X	X	X	X	95
(41)automata.fsa.FSAToRegularGrammarConverter.getLambdaProductionForFinalState(automata.Automaton,automata.State)->(2529)grammar.Production.<init>(java.lang.String,java.lang.String)	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(41)automata.fsa.FSAToRegularGrammarConverter.getLambdaProductionForFinalState(automata.Automaton,automata.State)	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(682)grammar.reg.RegularGrammar.addProduction(grammar.Production)	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(2307)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(2344)automata.Automaton.getTransitions()	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(2466)automata.Automaton.getFinalStates()	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(2526)automata.fsa.FSAToRegularGrammarConverter.getProductionForTransition(automata.Transition)	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(2530)grammar.reg.RegularGrammar.<init>()	6	X	X	X	X	X	X	95
(47)automata.fsa.FSALabelHandler.removeMultipleCharacterLabels(automata.Automaton)->(25)automata.Automaton.clone()	6	X	X	X	X	X	X	95
(47)automata.fsa.FSALabelHandler.removeMultipleCharacterLabels(automata.Automaton)->(1928)java.lang.String.length()	5	X	X	X	X		X	79
(47)automata.fsa.FSALabelHandler.removeMultipleCharacterLabels(automata.Automaton)->(2527)automata.fsa.FSATransition.getLabel()	5	X	X	X	X		X	79
(49)automata.fsa.FSALabelHandler.removeMultipleCharacterLabelsFromAutomaton(automata.Automaton)->(1928)java.lang.String.length()	5	X	X	X	X		X	79
(49)automata.fsa.FSALabelHandler.removeMultipleCharacterLabelsFromAutomaton(automata.Automaton)->(2344)automata.Automaton.getTransitions()	6	X	X	X	X	X	X	95
(49)automata.fsa.FSALabelHandler.removeMultipleCharacterLabelsFromAutomaton(automata.Automaton)->(2527)automata.fsa.FSATransition.getLabel()	5	X	X	X	X		X	79
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(51)debug.EDebug.print(java.lang.Object)	5	X	X	X	X		X	79
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(1917)java.util.HashSet.<init>()	6	X	X	X	X	X	X	95
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(1927)java.lang.String.charAt(int)	5	X	X	X	X		X	79
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(1928)java.lang.String.length()	6	X	X	X	X	X	X	95
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(1942)java.util.HashSet.add(java.lang.Object)	6	X	X	X	X	X	X	95
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2009)java.util.HashSet.iterator()	3	X			X	X		25
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2206)java.util.ArrayList.<init>()	6	X	X	X	X	X	X	95
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2208)java.lang.String.substring(int)	5	X	X	X	X		X	79
