1914	5	"(43)<regular.RegularExpression: void <init>()>""(43)<regular.RegularExpression: void <init>()>"	11054regular.RegularExpression.<init>()V:42:2:44:3	x	(43)regular.RegularExpression:<init>()regular.RegularExpression.<init>()	847regular.RegularExpression.<init>()V:43	2763regular.RegularExpression.<init>():void:RegularExpression.java:39:1:44:2	91
682	6	"(115)<grammar.reg.RegularGrammar: void addProduction(grammar.Production)>""(115)<grammar.reg.RegularGrammar: void addProduction(grammar.Production)>"	1468grammar.reg.RegularGrammar.addProduction(Lgrammar/Production;)V:114:2:124:3	155grammar.reg.RegularGrammar.addProduction(grammar.Production):114:14:124:2	grammar.reg.RegularGrammar:addProduction(grammar.Production)grammar.reg.RegularGrammar.addProduction(grammar.Production)	1524grammar.reg.RegularGrammar.addProduction(Lgrammar/Production;)V:115	541grammar.reg.RegularGrammar.addProduction(grammar.Production):void:RegularGrammar.java:106:1:124:2	95
2402	6	"(89)<automata.Transition: automata.State getFromState()>""(89)<automata.Transition: automata.State getFromState()>"	375automata.Transition.getFromState()Lautomata/State;:88:2:90:3	37automata.Transition.getFromState():-1:-1:-1:-1	automata.Transition:getFromState()automata.Transition.getFromState()	57automata.Transition.getFromState()Lautomata/State;:89	152automata.Transition.getFromState():automata.State:Transition.java:83:1:90:2	95
2227	6	"(98)<automata.Transition: automata.State getToState()>""(98)<automata.Transition: automata.State getToState()>"	274automata.Transition.getToState()Lautomata/State;:97:2:99:3	38automata.Transition.getToState():-1:-1:-1:-1	automata.Transition:getToState()automata.Transition.getToState()	58automata.Transition.getToState()Lautomata/State;:98	97automata.Transition.getToState():automata.State:Transition.java:92:1:99:2	95
2316	6	"(71)<automata.State: java.awt.Point getPoint()>""(71)<automata.State: java.awt.Point getPoint()>"	237automata.State.getPoint()Ljava/awt/Point;:70:2:72:3	40automata.State.getPoint():-1:-1:-1:-1	automata.State:getPoint()automata.State.getPoint()	49automata.State.getPoint()Ljava/awt/Point;:71	105automata.State.getPoint():java.awt.Point:State.java:64:1:72:2	95
8225	1	x	x	x	automata.fsa.FiniteStateAutomaton:getTransitions()automata.fsa.FiniteStateAutomaton.getTransitions()	x	x	8
2542	3	"(1)<automata.fsa.NFAToDFA$2: int compare(java.lang.Object,java.lang.Object)>""(1)<automata.fsa.NFAToDFA$2: int compare(java.lang.Object,java.lang.Object)>"	x	x	(1)automata.fsa.NFAToDFA$2:compare(java.lang.Object,java.lang.Object)automata.fsa.NFAToDFA$2.compare(java.lang.Object,java.lang.Object)	106automata.fsa.NFAToDFA$1.compare(Ljava/lang/Object;Ljava/lang/Object;)I:1	x	25
2543	6	"(54)<automata.fsa.FSAStepByStateSimulator: void <init>(automata.Automaton)>""(54)<automata.fsa.FSAStepByStateSimulator: void <init>(automata.Automaton)>"	1171automata.fsa.FSAStepByStateSimulator.<init>(Lautomata/Automaton;)V:53:2:55:3	60automata.fsa.FSAStepByStateSimulator.FSAStepByStateSimulator(automata.Automaton):53:9:55:2	(54)automata.fsa.FSAStepByStateSimulator:<init>(automata.Automaton)automata.fsa.FSAStepByStateSimulator.<init>(automata.Automaton)	1200automata.fsa.FSAStepByStateSimulator.<init>(Lautomata/Automaton;)V:54	455automata.fsa.FSAStepByStateSimulator.<init>(automata.Automaton):void:FSAStepByStateSimulator.java:47:1:55:2	95
2544	6	"(67)<automata.fsa.FSAStepByStateSimulator: automata.Configuration[] getInitialConfigurations(java.lang.String)>""(67)<automata.fsa.FSAStepByStateSimulator: automata.Configuration[] getInitialConfigurations(java.lang.String)>"	1175automata.fsa.FSAStepByStateSimulator.getInitialConfigurations(Ljava/lang/String;)[Lautomata/Configuration;:66:2:71:3	62automata.fsa.FSAStepByStateSimulator.getInitialConfigurations(java.lang.String):66:25:71:2	(67)automata.fsa.FSAStepByStateSimulator:getInitialConfigurations(java.lang.String)automata.fsa.FSAStepByStateSimulator.getInitialConfigurations(java.lang.String)	1486automata.fsa.FSAStepByStateSimulator.getInitialConfigurations(Ljava/lang/String;)[Lautomata/Configuration;:67	456automata.fsa.FSAStepByStateSimulator.getInitialConfigurations(java.lang.String):automata.Configuration[]:FSAStepByStateSimulator.java:57:1:71:2	95
2546	6	"(68)<automata.fsa.FSAConfiguration: java.lang.String getUnprocessedInput()>""(68)<automata.fsa.FSAConfiguration: java.lang.String getUnprocessedInput()>"	1077automata.fsa.FSAConfiguration.getUnprocessedInput()Ljava/lang/String;:67:2:69:3	22automata.fsa.FSAConfiguration.getUnprocessedInput():-1:-1:-1:-1	automata.fsa.FSAConfiguration:getUnprocessedInput()automata.fsa.FSAConfiguration.getUnprocessedInput()	1141automata.fsa.FSAConfiguration.getUnprocessedInput()Ljava/lang/String;:68	403automata.fsa.FSAConfiguration.getUnprocessedInput():java.lang.String:FSAConfiguration.java:62:1:69:2	95
2547	6	"(59)<automata.fsa.FSAConfiguration: java.lang.String getInput()>""(59)<automata.fsa.FSAConfiguration: java.lang.String getInput()>"	1075automata.fsa.FSAConfiguration.getInput()Ljava/lang/String;:58:2:60:3	65automata.fsa.FSAConfiguration.getInput():-1:-1:-1:-1	automata.fsa.FSAConfiguration:getInput()automata.fsa.FSAConfiguration.getInput()	1140automata.fsa.FSAConfiguration.getInput()Ljava/lang/String;:59	402automata.fsa.FSAConfiguration.getInput():java.lang.String:FSAConfiguration.java:55:1:60:2	95
